Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
LIGHT;0;LIGHT;97.343861;253.6939481;347.7534943;0;[Gwh]
COOLING;0;FOOD_COOLING;305.2242358;0;0;0;[GWh] 
0;0;SPACE_COOLING;0;0;0;0;[GWh] 
0;0;PROCESS_COOLING;0;0;0;0;[GWh] 
Others Electric Uses;0;OTHERS_ELEC;73.76501467;182.0065833;204.2159121;0;[GWh]
Mechanical Drive;0;MEC_DRIVE;2935.890848;6310.004016;18618.71529;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;37270.50766;0;[GWh] 
Heat;space heating;HEAT_LOW_T_SH;6510.223931;3036.200545;1683.443857;0;[GWh] 
Heat;hot water;HEAT_LOW_T_HW;1664.153772;680.6099632;436.1672273;0;[GWh] 
0;heat residential appliances;HEAT_RES;1415.850978;0;0;0;[GWh] 
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;109702.8;[Mpkm] 
Mobility;freight;MOBILITY_FREIGHT;0;0;0;69186.2;[Mtkm] 
Non energy;Non energy;NON_ENERGY;0;0;53396.44436;0;[GWh]
