Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;11857.46855;18262.4554;33410.38194;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;81328.06623;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;60617.69909;32886.55902;12643.01675;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;11596.68903;9802.958334;9234.275567;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;10428.45921;0;[GWh]
Cold;Space cooling;SPACE_COOLING;1314.184486;3803.356348;309.6657576;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;150760.1812;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;84701.50899;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;21115.62125;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;2010493.941;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0;0;53483.52157;0;[GWh]
;;;;;;;
;;;15173.7;22407.4;59700;0;
;;;14778.79764;21266.54373;59606.13136;;
